seed=0l; %0=95.000000; %1=90.250000; %2=85.737503
iteration,% infected sim 0,% infected sim 1,% infected sim 2
764,0.286000,0.625000,0.921000
765,0.287000,0.629000,0.921000
766,0.287000,0.630000,0.921000
767,0.289000,0.630000,0.922000
768,0.290000,0.631000,0.923000
769,0.290000,0.631000,0.923000
770,0.290000,0.633000,0.924000
771,0.291000,0.634000,0.924000
772,0.291000,0.634000,0.924000
773,0.296000,0.636000,0.924000
774,0.298000,0.637000,0.924000
775,0.298000,0.639000,0.924000
776,0.298000,0.641000,0.924000
777,0.298000,0.642000,0.924000
778,0.300000,0.643000,0.925000
779,0.301000,0.644000,0.925000
780,0.302000,0.645000,0.926000
781,0.302000,0.647000,0.927000
782,0.303000,0.648000,0.928000
783,0.304000,0.650000,0.928000
784,0.305000,0.657000,0.929000
785,0.305000,0.660000,0.930000
786,0.306000,0.663000,0.930000
787,0.306000,0.665000,0.930000
788,0.308000,0.666000,0.930000
789,0.308000,0.667000,0.930000
790,0.309000,0.668000,0.930000
791,0.310000,0.668000,0.931000
792,0.310000,0.673000,0.931000
793,0.313000,0.675000,0.932000
794,0.313000,0.676000,0.932000
795,0.313000,0.677000,0.932000
796,0.314000,0.678000,0.932000
797,0.314000,0.678000,0.932000
798,0.315000,0.678000,0.933000
799,0.318000,0.678000,0.933000
800,0.320000,0.679000,0.933000
801,0.321000,0.683000,0.933000
802,0.321000,0.685000,0.934000
